Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0045	0.218217303693676	0.121434292957054	0.0771907773415607	0.0687436088151693	0.0523354672642427	0.0265776422727291	0.0275523754434066	0.0152337379428697	0.156521055503274	0.0947652673917184	0.00734947137430012	9999	0.0847757164189564	1.00241640686227	0.865921
U0046	0.366191611843785	0.216658825479541	0.124091323938837	0.113730986378007	0.0892681232351396	0.0348931075545683	0.0501881361157042	0.0230087706639177	0.259695652221132	0.157814386776941	0.0111190757924271	9999	0.124804559628356	1.00051777191909	1.44666
U0048	0.233625822125362	0.129899636202215	0.0889350079386592	0.0780699965157716	0.0526933198984812	0.0347871336442582	0.0247746735787004	0.0182929039758086	0.168198502946801	0.106308158192616	0.00898084498132554	9999	0.0861450038780115	1.00214648197553	0.944566
U0053	0.695984889248224	0.369542678969202	0.247739717240479	0.230429496309506	0.172810341566275	0.0718374519258234	0.132546197708161	0.045515224028245	0.512141320589967	0.312430939514214	0.0185317428999041	9999	0.14050379888775	1.00008047219716	2.80951
U0054	0.451295263002871	0.269641838864417	0.148769384546973	0.154855233021308	0.090576943387287	0.0448921843676486	0.0569319506782553	0.0290791670906889	0.317130886460726	0.192688004419963	0.0125091441598612	9999	0.136328052543442	1.00005877307394	1.76837
U0057	0.161604362914002	0.074035447701384	0.0613791064617126	0.0563497264363524	0.0326138174334351	0.0203844418296358	0.0145869515138393	0.011350986750095	0.114432867910994	0.0718484223904507	0.00513286865809903	9999	0.0812047226508064	1.00358899292555	0.623719
U0059	0.334436070596735	0.164473608053066	0.126980921322446	0.113627856096855	0.0605314661788193	0.0954773232115676	0.0277389101648698	0.0261074215772522	0.23664760778401	0.162633941603868	0.00965487341051053	9999	0.0753829647211689	1.00107186307464	1.35831
U0060	0.295588184853241	0.165295087710037	0.111810255830258	0.0943559626492706	0.0684577667287392	0.0464444203232031	0.0308785160341752	0.0207352032549058	0.209223362695917	0.14270351342201	0.0086177264982434	9999	0.103773317528638	1.00117543829744	1.19411
U0062	0.139861408988375	0.0749733999210232	0.0555406708978532	0.0457470077130547	0.0332864221224506	0.0179707073526541	0.0143101144763845	0.00960044287913032	0.101804119066207	0.0658986276406925	0.00566107894217516	9999	0.0871066889400086	1.0025089820293	0.564654
U0064	0.158977014541682	0.0928022073931785	0.060691435735804	0.0607506601346095	0.0307463937001088	0.0680844746191051	0.0164745146822946	0.0143266522323783	0.125289589495745	0.0730986009628588	0.00643045650223552	9999	0.0989135326695381	0.997937180251634	0.707672
